,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
365,72.0,365716296,74.0,74.0,0.389,XDS,30.0,100.0,3.0,,2022-09-20,10:16
366,60.0,406789185,61.0,56.0,0.226,XDS,30.0,100.0,2.0,,2022-09-20,10:16
367,60.0,260351658,61.0,64.0,0.45,XDS,30.0,100.0,3.0,,2022-09-20,10:16
368,60.0,406789187,61.0,76.0,0.031,XDS,30.0,100.0,3.0,,2022-09-20,10:16
369,51.0,365781344,58.0,32.0,1.924,XDS,30.0,100.0,1.0,,2022-09-20,10:16
370,87.0,260372268,90.0,80.0,0.472,XDS,30.0,100.0,2.0,,2022-09-20,10:16
371,85.0,365649083,89.0,95.0,0.322,XDS,30.0,100.0,3.0,,2022-09-20,10:16
372,87.0,365649046,89.0,90.0,0.75,XDS,30.0,100.0,3.0,,2022-09-20,10:16
373,29.0,365663008,29.0,29.0,0.173,XDS,20.0,,3.0,,2022-09-20,10:16
374,29.0,365767041,29.0,29.0,0.078,XDS,20.0,,3.0,,2022-09-20,10:16
375,29.0,260465587,29.0,29.0,0.087,XDS,20.0,,3.0,,2022-09-20,10:16
376,48.0,365767078,51.0,26.0,0.065,XDS,30.0,100.0,1.0,,2022-09-20,10:16
377,48.0,332761119,51.0,26.0,0.062,XDS,30.0,100.0,1.0,,2022-09-20,10:16
378,48.0,365711457,51.0,35.0,0.557,XDS,30.0,100.0,2.0,,2022-09-20,10:16
379,48.0,365770967,51.0,51.0,1.078,XDS,30.0,100.0,3.0,,2022-09-20,10:16
380,48.0,365742735,51.0,42.0,1.596,XDS,30.0,100.0,2.0,,2022-09-20,10:16
381,34.0,365737912,40.0,18.0,0.048,XDS,30.0,100.0,1.0,,2022-09-20,10:16
382,34.0,365737951,40.0,26.0,0.055,XDS,30.0,100.0,2.0,,2022-09-20,10:16
383,34.0,365637328,40.0,39.0,0.41,XDS,30.0,100.0,3.0,,2022-09-20,10:16
384,34.0,365737894,35.0,11.0,0.078,XDS,30.0,100.0,1.0,,2022-09-20,10:16
385,34.0,365737930,35.0,18.0,0.095,XDS,30.0,100.0,1.0,,2022-09-20,10:16
386,34.0,365630922,35.0,43.0,0.392,XDS,30.0,100.0,3.0,,2022-09-20,10:16
387,43.0,365696875,47.0,50.0,0.038,XDS,30.0,100.0,3.0,,2022-09-20,10:16
